172.28.0.1 - - [18/Mar/2024:09:43:29 +0000] "GET /1/list HTTP/1.1" 200 2497 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:44:19 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:09:44:55 +0000] "GET /1/list HTTP/1.1" 200 2494 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:45:46 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:09:56:41 +0000] "GET /1/list HTTP/1.1" 200 2500 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:56:48 +0000] "GET /1/list HTTP/1.1" 200 2500 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:57:05 +0000] "GET /1/list HTTP/1.1" 200 2498 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:57:22 +0000] "GET /1/list HTTP/1.1" 200 2498 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:57:53 +0000] "GET /1/list HTTP/1.1" 200 2488 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:58:07 +0000] "GET /1/list HTTP/1.1" 200 2498 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:58:59 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:09:58:37 +0000] "GET /1/list HTTP/1.1" 200 2510 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:10:00:08 +0000] "GET /1/list HTTP/1.1" 200 2502 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:10:00:59 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:10:02:50 +0000] "GET /1/list HTTP/1.1" 200 862 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:10:03:42 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:10:03:56 +0000] "GET /1/list HTTP/1.1" 200 2501 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:10:04:47 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:10:05:34 +0000] "GET /1/list HTTP/1.1" 200 2170 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:10:06:26 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:10:10:29 +0000] "GET /1/list HTTP/1.1" 200 2162 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:10:11:20 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:10:14:22 +0000] "GET /1/list HTTP/1.1" 200 2168 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:10:15:14 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:10:31:03 +0000] "GET /1/list HTTP/1.1" 200 2162 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:10:31:41 +0000] "GET /1/list HTTP/1.1" 200 2165 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:10:32:33 +0000] "-" 408 0 "-" "-"
